Step	Temperature	Pressure	Stress[0,0]	Stress[1,1]	Stress[2,2]
10	1.187680	24.741797	24.712333	24.624762	24.888296
20	1.532935	25.093832	25.029770	24.901928	25.349798
30	1.426840	23.768623	23.593764	23.509919	24.202185
40	1.444482	23.434166	23.010349	23.429005	23.863143
50	1.409751	22.848153	22.688634	22.840365	23.015460
60	1.394186	22.789062	22.371966	22.824989	23.170231
70	1.395302	22.683366	22.520764	22.619543	22.909790
80	1.352776	22.261904	21.954614	22.157475	22.673622
90	1.324755	21.980992	21.673828	21.950801	22.318346
100	1.284804	21.995244	21.735791	22.015777	22.234164
110	1.250787	22.084862	21.688421	22.056202	22.509963
120	1.231479	21.962030	21.706607	21.872526	22.306956
130	1.205574	21.752405	21.576609	21.549076	22.131530
140	1.157540	21.728480	21.806632	21.642857	21.735952
150	1.139136	21.526906	21.219357	21.740713	21.620647
160	1.138852	21.958028	21.819132	22.041081	22.013870
170	1.138980	21.557565	21.443464	21.798951	21.430281
180	1.142982	21.500493	21.338551	21.666372	21.496557
190	1.116384	21.164367	21.224645	21.113857	21.154599
200	1.122958	21.171168	21.151417	21.300240	21.061847
210	1.130608	21.028330	20.564729	21.165952	21.354308
220	1.129147	21.356474	21.357323	21.255118	21.456980
230	1.128924	21.254140	21.184611	21.161711	21.416098
240	1.146533	21.332505	21.354858	21.418311	21.224346
250	1.159829	21.016000	21.094872	20.988618	20.964508
260	1.164526	21.322760	21.143979	21.331013	21.493287
270	1.159140	20.840295	20.801571	20.724081	20.995232
280	1.150534	20.616109	20.466329	20.492593	20.889405
290	1.152958	21.042161	21.028738	21.004319	21.093425
300	1.134670	20.969789	20.846960	20.877556	21.184850
310	1.110002	21.146660	20.975617	21.345773	21.118589
320	1.098370	21.229033	21.222425	21.110627	21.354046
330	1.072159	20.967577	21.043029	21.027847	20.831854
340	1.056355	20.917023	20.903885	20.966834	20.880350
350	1.039307	20.897029	20.956417	21.040564	20.694105
360	1.042011	20.916754	20.773167	20.947292	21.029803
370	1.044688	21.098864	21.146347	21.128230	21.022016
380	1.047426	20.960304	21.030195	20.940449	20.910269
390	1.075883	20.867689	20.944265	20.826287	20.832514
400	1.089259	20.952779	21.158744	20.887650	20.811944
410	1.085220	20.827032	20.665791	20.767599	21.047707
420	1.112804	20.989079	20.886892	20.888222	21.192122
430	1.119655	20.744713	20.629473	20.576421	21.028246
440	1.104238	20.857943	20.938276	20.928454	20.707098
450	1.113643	20.456430	20.426123	20.651606	20.291561
460	1.092587	20.699419	20.698931	20.596068	20.803259
470	1.076534	20.521210	20.391874	20.524468	20.647288
480	1.052270	20.650146	20.638015	20.817634	20.494789
490	1.049706	20.832586	20.917438	20.666093	20.914227
500	1.050412	20.630629	20.540370	20.854960	20.496556
510	1.042276	20.481905	20.444763	20.636814	20.364136
520	1.053679	20.515284	20.689456	20.420594	20.435802
530	1.071875	20.679713	20.728062	20.825887	20.485192
540	1.067192	20.501183	20.695153	20.483141	20.325254
550	1.073182	20.698981	20.660688	20.626912	20.809344
560	1.078471	20.563680	20.414590	20.598802	20.677649
570	1.085966	20.453596	20.374707	20.627574	20.358507
580	1.081415	20.507303	20.598243	20.410616	20.513051
590	1.064061	20.397110	20.490615	20.271062	20.429654
600	1.084879	20.720031	20.633737	20.806830	20.719525
610	1.076444	20.596202	20.584257	20.560795	20.643556
620	1.068290	20.461138	20.524383	20.481753	20.377277
630	1.067727	20.301463	20.483045	20.361904	20.059440
640	1.057912	20.404744	20.310356	20.441948	20.461927
650	1.062796	20.626736	20.734577	20.652701	20.492931
660	1.059385	20.826993	21.111846	20.499271	20.869862
670	1.051811	20.616919	20.682959	20.464408	20.703390
680	1.032788	20.585900	20.414690	20.635405	20.707604
690	1.029865	20.207775	20.284703	19.956509	20.382115
700	1.027233	20.678183	20.730270	20.764107	20.540173
710	1.029621	20.697329	20.820187	20.654523	20.617276
720	1.019920	20.782750	20.886747	20.718031	20.743471
730	1.016817	20.543184	20.796162	20.379685	20.453706
740	1.013887	20.408532	20.381494	20.562919	20.281184
750	1.035963	20.712037	20.678615	20.631873	20.825624
760	1.040229	20.442052	20.506607	20.236920	20.582629
770	1.036308	20.474923	20.652921	20.221259	20.550590
780	1.038403	20.511118	20.601135	20.423786	20.508432
790	1.036846	20.602639	20.707868	20.707448	20.392600
800	1.028725	20.466965	20.453978	20.507528	20.439389
810	1.027342	20.390556	20.368503	20.278817	20.524349
820	1.026287	20.312209	20.055261	20.523316	20.358049
830	1.017676	20.328203	20.338318	20.386686	20.259605
840	1.011656	20.679372	20.765765	20.713662	20.558688
850	1.011144	20.523830	20.402604	20.673200	20.495686
860	1.007412	20.352904	20.330009	20.360224	20.368478
870	1.003760	20.410625	20.217725	20.416420	20.597730
880	1.007389	20.418628	20.232190	20.521119	20.502575
890	1.013195	20.510362	20.455786	20.440101	20.635197
900	1.017642	20.413376	20.259105	20.502864	20.478161
910	1.010319	20.428274	20.523627	20.305274	20.455921
920	1.009207	20.355454	20.522328	20.304009	20.240025
930	1.006154	20.448659	20.485393	20.344862	20.515724
940	1.013619	20.480177	20.460499	20.498019	20.482013
950	1.020996	20.264002	20.244514	20.267183	20.280308
960	1.018934	20.706053	20.717179	20.698639	20.702342
970	1.013709	20.412307	20.275446	20.570945	20.390529
980	1.010010	20.424761	20.293010	20.655866	20.325406
990	1.003180	20.587110	20.542030	20.676315	20.542986
1000	0.993433	20.404700	20.329116	20.407610	20.477373
